"WHO region","Year","Low birth weight (in thousands)","Low birth weight, prevalence (%)"
"Global"," 2015","","14.6 [12.4-17.1]"
"Global"," 2014","","14.7 [12.4-17.5]"
"Global"," 2013","","14.8 [12.5-17.5]"
"Global"," 2012","","15.0 [12.7-17.8]"
"Global"," 2011","","15.1 [12.8-18.1]"
"Global"," 2010","","15.3 [12.9-18.3]"
"Global"," 2009","","15.5 [12.9-18.5]"
"Global"," 2008","","15.7 [13.0-18.7]"
"Global"," 2007","","15.9 [13.2-18.8]"
"Global"," 2006","","16.2 [13.3-19.4]"
"Global"," 2005","","16.4 [13.4-20.1]"
"Global"," 2004","","16.6 [13.5-20.3]"
"Global"," 2003","","16.9 [14.0-20.2]"
"Global"," 2002","","17.1 [14.0-21.0]"
"Global"," 2001","","17.3 [13.9-21.2]"
"Global"," 2000","","17.5 [14.1-21.3]"
"Africa"," 2015","4.9 [3.3-7.6]","13.7 [9.0-21.1]"
"Africa"," 2014","4.9 [3.2-7.5]","13.8 [9.1-21.1]"
"Africa"," 2013","4.9 [3.2-7.4]","13.9 [9.2-21.2]"
"Africa"," 2012","4.8 [3.2-7.4]","14.0 [9.3-21.5]"
"Africa"," 2011","4.8 [3.2-7.6]","14.1 [9.4-22.3]"
"Africa"," 2010","4.8 [3.1-7.3]","14.3 [9.4-21.9]"
"Africa"," 2009","4.7 [3.1-7.3]","14.4 [9.5-22.2]"
"Africa"," 2008","4.7 [3.1-7.2]","14.6 [9.6-22.4]"
"Africa"," 2007","4.6 [3.1-7.1]","14.7 [9.7-22.5]"
"Africa"," 2006","4.6 [3.0-7.0]","14.9 [9.7-22.7]"
"Africa"," 2005","4.6 [3.0-7.1]","15.1 [10.0-23.3]"
"Africa"," 2004","4.5 [3.0-6.9]","15.3 [10.0-23.4]"
"Africa"," 2003","4.5 [2.9-6.9]","15.5 [10.1-23.8]"
"Africa"," 2002","4.5 [2.9-6.9]","15.7 [10.2-24.2]"
"Africa"," 2001","4.4 [2.8-6.8]","15.9 [10.2-24.3]"
"Africa"," 2000","4.4 [2.8-6.7]","16.1 [10.3-24.5]"
"Americas"," 2015","1.3 [1.1-1.5]","8.5 [7.6-9.8]"
"Americas"," 2014","1.3 [1.2-1.5]","8.5 [7.6-9.7]"
"Americas"," 2013","1.3 [1.2-1.5]","8.5 [7.6-9.8]"
"Americas"," 2012","1.3 [1.2-1.5]","8.5 [7.6-9.8]"
"Americas"," 2011","1.3 [1.2-1.5]","8.6 [7.6-9.8]"
"Americas"," 2010","1.3 [1.2-1.5]","8.6 [7.7-9.8]"
"Americas"," 2009","1.3 [1.2-1.5]","8.6 [7.7-9.8]"
"Americas"," 2008","1.3 [1.2-1.5]","8.6 [7.7-9.8]"
"Americas"," 2007","1.3 [1.2-1.5]","8.6 [7.7-9.8]"
"Americas"," 2006","1.3 [1.2-1.5]","8.6 [7.7-9.9]"
"Americas"," 2005","1.3 [1.2-1.5]","8.6 [7.7-9.9]"
