"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","2.3","2.1","4.4"
"Africa Region"," 2016","2.3","2.2","4.5"
"Africa Region"," 2015","2.3","2.2","4.5"
"Africa Region"," 2014","2.3","2.2","4.5"
"Africa Region"," 2013","2.3","2.1","4.4"
"Africa Region"," 2012","2.2","2.1","4.4"
"Africa Region"," 2011","2.2","2.2","4.4"
"Africa Region"," 2010","2.2","2.1","4.3"
"Africa Region"," 2009","2.2","2.1","4.3"
"Africa Region"," 2008","2.2","2.1","4.3"
"Africa Region"," 2007","2.2","2.1","4.3"
"Africa Region"," 2006","2.2","2.2","4.3"
"Africa Region"," 2005","2.2","2.2","4.3"
"Africa Region"," 2004","2.2","2.2","4.4"
"Africa Region"," 2003","2.2","2.2","4.5"
"Africa Region"," 2002","2.3","2.3","4.6"
"Africa Region"," 2001","2.3","2.4","4.7"
"Africa Region"," 2000","2.4","2.4","4.8"
"Region of the Americas"," 2017","1.7","1.4","3.1"
"Region of the Americas"," 2016","1.7","1.5","3.2"
"Region of the Americas"," 2015","1.8","1.5","3.3"
"Region of the Americas"," 2014","1.8","1.5","3.3"
"Region of the Americas"," 2013","1.8","1.5","3.3"
"Region of the Americas"," 2012","1.8","1.6","3.4"
"Region of the Americas"," 2011","1.8","1.6","3.4"
"Region of the Americas"," 2010","1.9","1.6","3.5"
"Region of the Americas"," 2009","1.8","1.6","3.4"
"Region of the Americas"," 2008","1.9","1.7","3.5"
"Region of the Americas"," 2007","1.9","1.7","3.6"
"Region of the Americas"," 2006","1.9","1.7","3.7"
"Region of the Americas"," 2005","1.9","1.7","3.6"
"Region of the Americas"," 2004","2","1.8","3.8"
"Region of the Americas"," 2003","2","1.8","3.8"
"Region of the Americas"," 2002","2","1.9","3.9"
"Region of the Americas"," 2001","2.1","1.9","4"
"Region of the Americas"," 2000","2.1","2","4.1"
"South-East Asia Region"," 2017","2.5","0.9","3.4"
"South-East Asia Region"," 2016","2.6","0.9","3.6"
"South-East Asia Region"," 2015","2.7","1","3.7"
"South-East Asia Region"," 2014","2.7","1","3.7"
"South-East Asia Region"," 2013","2.7","1","3.7"
"South-East Asia Region"," 2012","2.7","1.1","3.8"
"South-East Asia Region"," 2011","2.7","1.1","3.8"
"South-East Asia Region"," 2010","2.7","1.2","3.9"
"South-East Asia Region"," 2009","2.7","1.2","3.9"
"South-East Asia Region"," 2008","2.7","1.2","4"
"South-East Asia Region"," 2007","2.7","1.3","4"
"South-East Asia Region"," 2006","2.7","1.3","4"
"South-East Asia Region"," 2005","2.7","1.3","4.1"
"South-East Asia Region"," 2004","2.7","1.4","4.1"
"South-East Asia Region"," 2003","2.8","1.4","4.1"
"South-East Asia Region"," 2002","2.8","1.4","4.2"
"South-East Asia Region"," 2001","2.8","1.4","4.2"
"South-East Asia Region"," 2000","2.8","1.4","4.3"
"European Region"," 2017","1.1","1","2.1"
"European Region"," 2016","1.2","1","2.2"
"European Region"," 2015","1.2","1.1","2.3"
"European Region"," 2014","1.3","1.1","2.4"
"European Region"," 2013","1.3","1.1","2.5"
"European Region"," 2012","1.4","1.2","2.5"
"European Region"," 2011","1.4","1.3","2.7"
"European Region"," 2010","1.5","1.3","2.8"
"European Region"," 2009","1.5","1.3","2.7"
"European Region"," 2008","1.6","1.4","2.9"
"European Region"," 2007","1.6","1.4","3.1"
"European Region"," 2006","1.7","1.5","3.2"
"European Region"," 2005","1.8","1.6","3.4"
"European Region"," 2004","1.9","1.7","3.5"
"European Region"," 2003","2","1.8","3.7"
"European Region"," 2002","2.1","1.9","3.9"
"European Region"," 2001","2.2","2","4.1"
"European Region"," 2000","2.2","2.1","4.3"
"Eastern Mediterranean Region"," 2017","2.5","1.4","3.9"
"Eastern Mediterranean Region"," 2016","2.5","1.4","4"
"Eastern Mediterranean Region"," 2015","2.6","1.5","4"
"Eastern Mediterranean Region"," 2014","2.6","1.5","4.1"
