"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," Diarrhoeal diseases"," Diarrhoeal diseases"," Diarrhoeal diseases"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","0.2","6.2","6.4"
"Africa Region"," 2016","0.2","6.7","6.9"
"Africa Region"," 2015","0.2","7.1","7.3"
"Africa Region"," 2014","0.2","7.6","7.8"
"Africa Region"," 2013","0.2","8.1","8.2"
"Africa Region"," 2012","0.2","8.5","8.7"
"Africa Region"," 2011","0.2","9.1","9.3"
"Africa Region"," 2010","0.2","9.6","9.8"
"Africa Region"," 2009","0.2","10.1","10.3"
"Africa Region"," 2008","0.2","10.7","10.9"
"Africa Region"," 2007","0.2","11.4","11.6"
"Africa Region"," 2006","0.3","12.1","12.4"
"Africa Region"," 2005","0.3","12.9","13.2"
"Africa Region"," 2004","0.3","14","14.3"
"Africa Region"," 2003","0.3","15.1","15.4"
"Africa Region"," 2002","0.3","16.5","16.9"
"Africa Region"," 2001","0.4","17.8","18.2"
"Africa Region"," 2000","0.4","19.2","19.6"
"Region of the Americas"," 2017","0","0.5","0.5"
"Region of the Americas"," 2016","0","0.5","0.5"
"Region of the Americas"," 2015","0","0.5","0.5"
"Region of the Americas"," 2014","0","0.6","0.6"
"Region of the Americas"," 2013","0","0.6","0.6"
"Region of the Americas"," 2012","0","0.6","0.6"
"Region of the Americas"," 2011","0","0.7","0.7"
"Region of the Americas"," 2010","0","0.7","0.8"
"Region of the Americas"," 2009","0","0.8","0.8"
"Region of the Americas"," 2008","0","0.9","0.9"
"Region of the Americas"," 2007","0","1","1"
"Region of the Americas"," 2006","0","1.2","1.2"
"Region of the Americas"," 2005","0","1.3","1.3"
"Region of the Americas"," 2004","0","1.4","1.4"
"Region of the Americas"," 2003","0","1.6","1.6"
"Region of the Americas"," 2002","0","1.7","1.7"
"Region of the Americas"," 2001","0","1.8","1.8"
"Region of the Americas"," 2000","0","2","2"
"South-East Asia Region"," 2017","0.1","3","3.1"
"South-East Asia Region"," 2016","0.1","3.2","3.3"
"South-East Asia Region"," 2015","0.2","3.4","3.6"
"South-East Asia Region"," 2014","0.2","3.6","3.8"
"South-East Asia Region"," 2013","0.2","3.9","4.1"
"South-East Asia Region"," 2012","0.2","4.3","4.5"
"South-East Asia Region"," 2011","0.2","4.6","4.9"
"South-East Asia Region"," 2010","0.3","5","5.3"
"South-East Asia Region"," 2009","0.3","5.4","5.7"
"South-East Asia Region"," 2008","0.3","5.9","6.2"
"South-East Asia Region"," 2007","0.4","6.3","6.7"
"South-East Asia Region"," 2006","0.4","6.8","7.2"
"South-East Asia Region"," 2005","0.4","7.3","7.7"
"South-East Asia Region"," 2004","0.4","7.8","8.2"
"South-East Asia Region"," 2003","0.5","8.3","8.8"
"South-East Asia Region"," 2002","0.5","8.9","9.4"
"South-East Asia Region"," 2001","0.5","9.6","10.1"
"South-East Asia Region"," 2000","0.5","10.3","10.8"
"European Region"," 2017","0","0.3","0.3"
"European Region"," 2016","0","0.3","0.3"
"European Region"," 2015","0","0.3","0.3"
"European Region"," 2014","0","0.3","0.3"
"European Region"," 2013","0","0.4","0.4"
"European Region"," 2012","0","0.4","0.4"
"European Region"," 2011","0","0.4","0.4"
"European Region"," 2010","0","0.4","0.4"
"European Region"," 2009","0","0.4","0.5"
"European Region"," 2008","0","0.5","0.5"
"European Region"," 2007","0","0.5","0.5"
"European Region"," 2006","0","0.6","0.6"
"European Region"," 2005","0","0.6","0.7"
"European Region"," 2004","0","0.7","0.7"
"European Region"," 2003","0","0.8","0.8"
"European Region"," 2002","0","0.9","1"
"European Region"," 2001","0","1.1","1.1"
"European Region"," 2000","0","1.2","1.2"
"Eastern Mediterranean Region"," 2017","0.3","3.6","3.9"
"Eastern Mediterranean Region"," 2016","0.3","3.9","4.1"
"Eastern Mediterranean Region"," 2015","0.3","4.1","4.4"
"Eastern Mediterranean Region"," 2014","0.3","4.4","4.6"
"Eastern Mediterranean Region"," 2013","0.3","4.6","4.9"
"Eastern Mediterranean Region"," 2012","0.3","4.6","4.9"
"Eastern Mediterranean Region"," 2011","0.3","5","5.3"
"Eastern Mediterranean Region"," 2010","0.3","5.3","5.6"
"Eastern Mediterranean Region"," 2009","0.3","5.6","5.9"
"Eastern Mediterranean Region"," 2008","0.3","5.9","6.3"
"Eastern Mediterranean Region"," 2007","0.4","6.3","6.6"
"Eastern Mediterranean Region"," 2006","0.4","6.7","7"
"Eastern Mediterranean Region"," 2005","0.4","7.1","7.4"
"Eastern Mediterranean Region"," 2004","0.4","7.5","7.9"
"Eastern Mediterranean Region"," 2003","0.4","8","8.4"
"Eastern Mediterranean Region"," 2002","0.4","8.4","8.8"
"Eastern Mediterranean Region"," 2001","0.4","8.9","9.3"
"Eastern Mediterranean Region"," 2000","0.4","9.5","9.9"
"Western Pacific Region"," 2017","0","0.6","0.6"
"Western Pacific Region"," 2016","0","0.6","0.6"
"Western Pacific Region"," 2015","0","0.6","0.7"
"Western Pacific Region"," 2014","0","0.7","0.7"
"Western Pacific Region"," 2013","0","0.7","0.7"
"Western Pacific Region"," 2012","0","0.8","0.8"
"Western Pacific Region"," 2011","0","0.8","0.8"
"Western Pacific Region"," 2010","0","0.9","0.9"
"Western Pacific Region"," 2009","0","0.9","1"
"Western Pacific Region"," 2008","0","1","1.1"
"Western Pacific Region"," 2007","0.1","1.1","1.2"
"Western Pacific Region"," 2006","0.1","1.3","1.3"
"Western Pacific Region"," 2005","0.1","1.4","1.5"
"Western Pacific Region"," 2004","0.1","1.6","1.6"
"Western Pacific Region"," 2003","0.1","1.7","1.8"
"Western Pacific Region"," 2002","0.1","1.9","2"
"Western Pacific Region"," 2001","0.1","2","2.1"
"Western Pacific Region"," 2000","0.1","2.3","2.4"
"World"," 2017","0.1","3","3.1"
"World"," 2016","0.1","3.2","3.4"
"World"," 2015","0.1","3.4","3.5"
"World"," 2014","0.1","3.6","3.7"
"World"," 2013","0.1","3.8","4"
"World"," 2012","0.1","4","4.2"
"World"," 2011","0.2","4.3","4.5"
"World"," 2010","0.2","4.6","4.7"
"World"," 2009","0.2","4.8","5"
"World"," 2008","0.2","5.1","5.3"
"World"," 2007","0.2","5.5","5.7"
"World"," 2006","0.2","5.9","6.1"
"World"," 2005","0.2","6.3","6.5"
"World"," 2004","0.3","6.7","7"
"World"," 2003","0.3","7.2","7.5"
"World"," 2002","0.3","7.8","8"
"World"," 2001","0.3","8.3","8.6"
"World"," 2000","0.3","8.9","9.2"
