"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","0","1.8","1.8"
"Africa Region"," 2016","0","1.9","1.9"
"Africa Region"," 2015","0","2.1","2.1"
"Africa Region"," 2014","0","2.3","2.3"
"Africa Region"," 2013","0","2.5","2.6"
"Africa Region"," 2012","0","2.9","3"
"Africa Region"," 2011","0","3.5","3.5"
"Africa Region"," 2010","0","4","4.1"
"Africa Region"," 2009","0","4.5","4.5"
"Africa Region"," 2008","0","5.1","5.2"
"Africa Region"," 2007","0","5.8","5.8"
"Africa Region"," 2006","0.1","6.4","6.4"
"Africa Region"," 2005","0.1","6.8","6.9"
"Africa Region"," 2004","0.1","7.2","7.3"
"Africa Region"," 2003","0.1","7.5","7.6"
"Africa Region"," 2002","0.1","7.7","7.7"
"Africa Region"," 2001","0.1","7.8","7.8"
"Africa Region"," 2000","0.1","7.8","7.8"
"Region of the Americas"," 2017","0","0.1","0.1"
"Region of the Americas"," 2016","0","0.1","0.1"
"Region of the Americas"," 2015","0","0.1","0.1"
"Region of the Americas"," 2014","0","0.1","0.1"
"Region of the Americas"," 2013","0","0.1","0.1"
"Region of the Americas"," 2012","0","0.1","0.1"
"Region of the Americas"," 2011","0","0.1","0.1"
"Region of the Americas"," 2010","0","0.1","0.1"
"Region of the Americas"," 2009","0","0.1","0.1"
"Region of the Americas"," 2008","0","0.1","0.1"
"Region of the Americas"," 2007","0","0.1","0.1"
"Region of the Americas"," 2006","0","0.1","0.1"
"Region of the Americas"," 2005","0","0.2","0.2"
"Region of the Americas"," 2004","0","0.2","0.2"
"Region of the Americas"," 2003","0","0.2","0.2"
"Region of the Americas"," 2002","0","0.2","0.2"
"Region of the Americas"," 2001","0","0.2","0.2"
"Region of the Americas"," 2000","0","0.2","0.2"
"South-East Asia Region"," 2017","0","0.1","0.1"
"South-East Asia Region"," 2016","0","0.1","0.1"
"South-East Asia Region"," 2015","0","0.1","0.1"
"South-East Asia Region"," 2014","0","0.1","0.1"
"South-East Asia Region"," 2013","0","0.1","0.1"
"South-East Asia Region"," 2012","0","0.1","0.1"
"South-East Asia Region"," 2011","0","0.1","0.1"
"South-East Asia Region"," 2010","0","0.2","0.2"
"South-East Asia Region"," 2009","0","0.2","0.2"
"South-East Asia Region"," 2008","0","0.2","0.2"
"South-East Asia Region"," 2007","0","0.2","0.2"
"South-East Asia Region"," 2006","0","0.2","0.2"
"South-East Asia Region"," 2005","0","0.3","0.3"
"South-East Asia Region"," 2004","0","0.3","0.3"
"South-East Asia Region"," 2003","0","0.3","0.3"
