"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," Measles"," Measles"," Measles"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","0","1.2","1.2"
"Africa Region"," 2016","0","2.5","2.5"
"Africa Region"," 2015","0","2","2"
"Africa Region"," 2014","0","1.7","1.7"
"Africa Region"," 2013","0","2.8","2.8"
"Africa Region"," 2012","0","1.8","1.8"
"Africa Region"," 2011","0","2.7","2.7"
"Africa Region"," 2010","0","1.8","1.8"
"Africa Region"," 2009","0","1.9","1.9"
"Africa Region"," 2008","0","2.3","2.3"
"Africa Region"," 2007","0","1.5","1.5"
"Africa Region"," 2006","0","2.4","2.4"
"Africa Region"," 2005","0","7.4","7.4"
"Africa Region"," 2004","0","4.5","4.5"
"Africa Region"," 2003","0","10.7","10.7"
"Africa Region"," 2002","0","9.9","9.9"
"Africa Region"," 2001","0","10.5","10.5"
"Africa Region"," 2000","0","11.8","11.8"
"Region of the Americas"," 2017","0","0","0"
"Region of the Americas"," 2016","0","0","0"
"Region of the Americas"," 2015","0","0","0"
"Region of the Americas"," 2014","0","0","0"
"Region of the Americas"," 2013","0","0","0"
"Region of the Americas"," 2012","0","0","0"
"Region of the Americas"," 2011","0","0","0"
"Region of the Americas"," 2010","0","0","0"
"Region of the Americas"," 2009","0","0","0"
"Region of the Americas"," 2008","0","0","0"
"Region of the Americas"," 2007","0","0","0"
"Region of the Americas"," 2006","0","0","0"
"Region of the Americas"," 2005","0","0","0"
"Region of the Americas"," 2004","0","0","0"
"Region of the Americas"," 2003","0","0","0"
"Region of the Americas"," 2002","0","0","0"
"Region of the Americas"," 2001","0","0","0"
"Region of the Americas"," 2000","0","0","0"
"South-East Asia Region"," 2017","0","0.7","0.7"
"South-East Asia Region"," 2016","0","0.8","0.8"
"South-East Asia Region"," 2015","0","1.1","1.1"
"South-East Asia Region"," 2014","0","1.1","1.1"
"South-East Asia Region"," 2013","0","0.8","0.8"
"South-East Asia Region"," 2012","0","1.1","1.1"
"South-East Asia Region"," 2011","0","1.7","1.7"
"South-East Asia Region"," 2010","0","1.6","1.6"
"South-East Asia Region"," 2009","0","2.3","2.3"
"South-East Asia Region"," 2008","0","1.9","1.9"
"South-East Asia Region"," 2007","0","2","2"
"South-East Asia Region"," 2006","0","3.2","3.2"
"South-East Asia Region"," 2005","0","2.6","2.6"
"South-East Asia Region"," 2004","0","3.6","3.6"
"South-East Asia Region"," 2003","0","3.1","3.1"
"South-East Asia Region"," 2002","0","2.9","2.9"
"South-East Asia Region"," 2001","0","3.4","3.4"
"South-East Asia Region"," 2000","0","3","3"
"European Region"," 2017","0","0","0"
"European Region"," 2016","0","0","0"
"European Region"," 2015","0","0","0"
"European Region"," 2014","0","0","0"
"European Region"," 2013","0","0","0"
"European Region"," 2012","0","0","0"
"European Region"," 2011","0","0","0"
"European Region"," 2010","0","0","0"
"European Region"," 2009","0","0","0"
"European Region"," 2008","0","0","0"
"European Region"," 2007","0","0","0"
"European Region"," 2006","0","0","0"
"European Region"," 2005","0","0","0"
"European Region"," 2004","0","0","0"
"European Region"," 2003","0","0","0"
"European Region"," 2002","0","0","0"
"European Region"," 2001","0","0","0"
"European Region"," 2000","0","0","0"
"Eastern Mediterranean Region"," 2017","0","1.2","1.2"
"Eastern Mediterranean Region"," 2016","0","1.3","1.3"
"Eastern Mediterranean Region"," 2015","0","1.6","1.6"
"Eastern Mediterranean Region"," 2014","0","1.8","1.8"
"Eastern Mediterranean Region"," 2013","0","1.2","1.2"
"Eastern Mediterranean Region"," 2012","0","1.6","1.6"
"Eastern Mediterranean Region"," 2011","0","2.1","2.1"
"Eastern Mediterranean Region"," 2010","0","0.6","0.6"
"Eastern Mediterranean Region"," 2009","0","0.6","0.6"
"Eastern Mediterranean Region"," 2008","0","0.5","0.5"
"Eastern Mediterranean Region"," 2007","0","0.7","0.7"
"Eastern Mediterranean Region"," 2006","0","1.1","1.1"
"Eastern Mediterranean Region"," 2005","0","1.4","1.4"
"Eastern Mediterranean Region"," 2004","0","2","2"
"Eastern Mediterranean Region"," 2003","0","2.7","2.7"
"Eastern Mediterranean Region"," 2002","0","2.5","2.5"
"Eastern Mediterranean Region"," 2001","0","2.7","2.7"
"Eastern Mediterranean Region"," 2000","0","2.6","2.6"
"Western Pacific Region"," 2017","0","0","0"
"Western Pacific Region"," 2016","0","0.1","0.1"
"Western Pacific Region"," 2015","0","0.1","0.1"
"Western Pacific Region"," 2014","0","0.2","0.2"
"Western Pacific Region"," 2013","0","0.1","0.1"
"Western Pacific Region"," 2012","0","0","0"
"Western Pacific Region"," 2011","0","0.1","0.1"
"Western Pacific Region"," 2010","0","0.1","0.1"
"Western Pacific Region"," 2009","0","0.1","0.1"
"Western Pacific Region"," 2008","0","0.2","0.2"
"Western Pacific Region"," 2007","0","0.2","0.2"
"Western Pacific Region"," 2006","0","0.2","0.2"
"Western Pacific Region"," 2005","0","0.2","0.2"
"Western Pacific Region"," 2004","0","0.2","0.2"
"Western Pacific Region"," 2003","0","0.3","0.3"
"Western Pacific Region"," 2002","0","0.3","0.3"
"Western Pacific Region"," 2001","0","0.3","0.3"
