"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","0.4","1.5","1.9"
"Africa Region"," 2016","0.4","1.4","1.8"
"Africa Region"," 2015","0.4","1.7","2.1"
"Africa Region"," 2014","0.5","1.6","2"
"Africa Region"," 2013","0.5","2.1","2.6"
"Africa Region"," 2012","0.5","2.4","2.9"
"Africa Region"," 2011","0.5","2.1","2.7"
"Africa Region"," 2010","0.6","2.3","2.9"
"Africa Region"," 2009","0.6","2.8","3.4"
"Africa Region"," 2008","0.6","3.5","4.1"
"Africa Region"," 2007","0.6","3.1","3.8"
"Africa Region"," 2006","0.6","3.3","4"
"Africa Region"," 2005","0.7","4.3","5"
"Africa Region"," 2004","0.7","4.3","5"
"Africa Region"," 2003","0.7","4.8","5.5"
"Africa Region"," 2002","0.7","4.7","5.4"
"Africa Region"," 2001","0.7","5","5.7"
"Africa Region"," 2000","0.7","5","5.7"
"Region of the Americas"," 2017","0","0.2","0.2"
"Region of the Americas"," 2016","0","0.2","0.2"
"Region of the Americas"," 2015","0","0.2","0.2"
"Region of the Americas"," 2014","0","0.2","0.2"
"Region of the Americas"," 2013","0","0.2","0.2"
"Region of the Americas"," 2012","0","0.2","0.2"
"Region of the Americas"," 2011","0","0.2","0.2"
"Region of the Americas"," 2010","0","0.3","0.3"
"Region of the Americas"," 2009","0","0.3","0.3"
"Region of the Americas"," 2008","0","0.3","0.3"
"Region of the Americas"," 2007","0","0.3","0.3"
"Region of the Americas"," 2006","0","0.3","0.3"
"Region of the Americas"," 2005","0","0.3","0.4"
"Region of the Americas"," 2004","0","0.4","0.4"
"Region of the Americas"," 2003","0","0.4","0.4"
"Region of the Americas"," 2002","0","0.4","0.4"
"Region of the Americas"," 2001","0","0.5","0.5"
"Region of the Americas"," 2000","0","0.5","0.6"
"South-East Asia Region"," 2017","0.2","0.5","0.8"
"South-East Asia Region"," 2016","0.2","0.6","0.8"
"South-East Asia Region"," 2015","0.3","0.7","0.9"
"South-East Asia Region"," 2014","0.3","0.8","1.1"
"South-East Asia Region"," 2013","0.3","0.9","1.2"
"South-East Asia Region"," 2012","0.3","1","1.3"
"South-East Asia Region"," 2011","0.3","1.1","1.5"
"South-East Asia Region"," 2010","0.4","1.2","1.6"
"South-East Asia Region"," 2009","0.4","1.3","1.7"
"South-East Asia Region"," 2008","0.4","1.4","1.8"
"South-East Asia Region"," 2007","0.4","1.5","1.9"
