"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," Other communicable, perinatal and nutritional conditions"," Other communicable, perinatal and nutritional conditions"," Other communicable, perinatal and nutritional conditions"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","1.2","6.7","7.9"
"Africa Region"," 2016","1.3","6.9","8.2"
"Africa Region"," 2015","1.3","7","8.3"
"Africa Region"," 2014","1.3","7.1","8.4"
"Africa Region"," 2013","1.3","7.1","8.4"
"Africa Region"," 2012","1.4","7.1","8.5"
"Africa Region"," 2011","1.4","7.3","8.7"
"Africa Region"," 2010","1.4","7.3","8.8"
"Africa Region"," 2009","1.5","7.4","8.9"
"Africa Region"," 2008","1.5","7.4","8.9"
"Africa Region"," 2007","1.6","7.5","9.1"
"Africa Region"," 2006","1.6","7.7","9.3"
"Africa Region"," 2005","1.7","7.8","9.4"
"Africa Region"," 2004","1.7","8","9.7"
"Africa Region"," 2003","1.7","8.3","10"
"Africa Region"," 2002","1.7","8.6","10.3"
"Africa Region"," 2001","1.7","8.9","10.6"
"Africa Region"," 2000","1.7","9.1","10.9"
"Region of the Americas"," 2017","0.8","0.6","1.4"
"Region of the Americas"," 2016","0.9","0.6","1.4"
"Region of the Americas"," 2015","0.9","0.6","1.5"
"Region of the Americas"," 2014","0.9","0.6","1.5"
"Region of the Americas"," 2013","0.9","0.7","1.5"
"Region of the Americas"," 2012","0.8","0.7","1.5"
"Region of the Americas"," 2011","0.8","0.7","1.5"
"Region of the Americas"," 2010","0.9","0.7","1.6"
"Region of the Americas"," 2009","0.9","0.8","1.6"
"Region of the Americas"," 2008","0.9","0.8","1.7"
"Region of the Americas"," 2007","0.9","0.9","1.8"
"Region of the Americas"," 2006","0.9","1","1.9"
"Region of the Americas"," 2005","0.9","1.1","2"
"Region of the Americas"," 2004","0.9","1.2","2.1"
"Region of the Americas"," 2003","1","1.4","2.3"
"Region of the Americas"," 2002","1","1.4","2.4"
"Region of the Americas"," 2001","1","1.6","2.6"
"Region of the Americas"," 2000","1","1.6","2.7"
"South-East Asia Region"," 2017","1.1","1.7","2.8"
"South-East Asia Region"," 2016","1.2","1.8","3"
"South-East Asia Region"," 2015","1.2","1.9","3.1"
"South-East Asia Region"," 2014","1.3","2","3.3"
"South-East Asia Region"," 2013","1.4","2.1","3.5"
"South-East Asia Region"," 2012","1.5","2.2","3.7"
"South-East Asia Region"," 2011","1.6","2.4","3.9"
"South-East Asia Region"," 2010","1.7","2.6","4.2"
"South-East Asia Region"," 2009","1.8","2.8","4.5"
"South-East Asia Region"," 2008","1.9","2.9","4.8"
"South-East Asia Region"," 2007","2","3.1","5.1"
"South-East Asia Region"," 2006","2.1","3.3","5.4"
"South-East Asia Region"," 2005","2.2","3.5","5.7"
"South-East Asia Region"," 2004","2.3","3.8","6"
"South-East Asia Region"," 2003","2.4","4","6.3"
"South-East Asia Region"," 2002","2.5","4.2","6.7"
"South-East Asia Region"," 2001","2.6","4.5","7.1"
"South-East Asia Region"," 2000","2.7","4.8","7.4"
"European Region"," 2017","0.4","0.3","0.7"
"European Region"," 2016","0.4","0.4","0.8"
"European Region"," 2015","0.4","0.4","0.8"
"European Region"," 2014","0.4","0.4","0.8"
"European Region"," 2013","0.4","0.4","0.8"
"European Region"," 2012","0.4","0.4","0.8"
"European Region"," 2011","0.4","0.4","0.9"
"European Region"," 2010","0.4","0.4","0.9"
"European Region"," 2009","0.5","0.4","0.9"
"European Region"," 2008","0.5","0.5","1"
"European Region"," 2007","0.6","0.5","1.1"
"European Region"," 2006","0.6","0.5","1.1"
"European Region"," 2005","0.6","0.6","1.1"
"European Region"," 2004","0.6","0.6","1.2"
"European Region"," 2003","0.7","0.7","1.4"
"European Region"," 2002","0.7","0.8","1.5"
"European Region"," 2001","0.7","0.9","1.6"
"European Region"," 2000","0.7","1","1.7"
"Eastern Mediterranean Region"," 2017","1.3","3.3","4.6"
"Eastern Mediterranean Region"," 2016","1.3","3.4","4.7"
"Eastern Mediterranean Region"," 2015","1.3","3.4","4.7"
"Eastern Mediterranean Region"," 2014","1.3","3.5","4.8"
"Eastern Mediterranean Region"," 2013","1.4","3.5","4.8"
"Eastern Mediterranean Region"," 2012","1.4","3.4","4.8"
"Eastern Mediterranean Region"," 2011","1.4","3.5","4.9"
"Eastern Mediterranean Region"," 2010","1.5","3.5","5"
"Eastern Mediterranean Region"," 2009","1.5","3.6","5.1"
"Eastern Mediterranean Region"," 2008","1.6","3.6","5.2"
"Eastern Mediterranean Region"," 2007","1.6","3.7","5.3"
"Eastern Mediterranean Region"," 2006","1.6","3.8","5.4"
"Eastern Mediterranean Region"," 2005","1.7","3.9","5.5"
"Eastern Mediterranean Region"," 2004","1.7","4","5.7"
"Eastern Mediterranean Region"," 2003","1.8","4.1","5.8"
"Eastern Mediterranean Region"," 2002","1.8","4.1","5.9"
"Eastern Mediterranean Region"," 2001","1.8","4.2","6.1"
"Eastern Mediterranean Region"," 2000","1.8","4.3","6.2"
"Western Pacific Region"," 2017","0.5","0.6","1.1"
"Western Pacific Region"," 2016","0.5","0.6","1.1"
"Western Pacific Region"," 2015","0.5","0.6","1.1"
"Western Pacific Region"," 2014","0.5","0.6","1.2"
"Western Pacific Region"," 2013","0.5","0.6","1.2"
"Western Pacific Region"," 2012","0.6","0.7","1.2"
"Western Pacific Region"," 2011","0.6","0.7","1.3"
"Western Pacific Region"," 2010","0.6","0.7","1.3"
"Western Pacific Region"," 2009","0.7","0.7","1.3"
"Western Pacific Region"," 2008","0.7","0.7","1.4"
"Western Pacific Region"," 2007","0.7","0.7","1.5"
"Western Pacific Region"," 2006","0.8","0.8","1.6"
"Western Pacific Region"," 2005","0.9","0.9","1.8"
"Western Pacific Region"," 2004","1","1","2"
"Western Pacific Region"," 2003","1.1","1.1","2.2"
"Western Pacific Region"," 2002","1.2","1.2","2.4"
"Western Pacific Region"," 2001","1.3","1.2","2.5"
"Western Pacific Region"," 2000","1.4","1.3","2.7"
"World"," 2017","1","2.8","3.8"
"World"," 2016","1","2.9","3.9"
"World"," 2015","1","2.9","4"
"World"," 2014","1.1","3","4"
"World"," 2013","1.1","3","4.1"
"World"," 2012","1.1","3","4.1"
"World"," 2011","1.2","3.1","4.2"
"World"," 2010","1.2","3.1","4.3"
"World"," 2009","1.3","3.2","4.4"
"World"," 2008","1.3","3.2","4.6"
"World"," 2007","1.4","3.3","4.7"
"World"," 2006","1.4","3.4","4.9"
"World"," 2005","1.5","3.5","5"
"World"," 2004","1.6","3.7","5.3"
"World"," 2003","1.6","3.9","5.5"
"World"," 2002","1.7","4","5.7"
"World"," 2001","1.7","4.2","5.9"
"World"," 2000","1.8","4.3","6.1"
