"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," Acute lower respiratory infections"," Acute lower respiratory infections"," Acute lower respiratory infections"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","1.9","9.6","11.5"
"Africa Region"," 2016","2","10","12"
"Africa Region"," 2015","2","10.3","12.3"
"Africa Region"," 2014","2.1","11.2","13.2"
"Africa Region"," 2013","2.1","11.7","13.9"
"Africa Region"," 2012","2.2","12.4","14.6"
"Africa Region"," 2011","2.3","13.2","15.4"
"Africa Region"," 2010","2.3","13.8","16.2"
"Africa Region"," 2009","2.4","14.3","16.7"
"Africa Region"," 2008","2.5","14.9","17.3"
"Africa Region"," 2007","2.6","15.6","18.2"
"Africa Region"," 2006","2.7","16.3","19"
"Africa Region"," 2005","2.7","16.8","19.6"
"Africa Region"," 2004","2.8","17.6","20.4"
"Africa Region"," 2003","2.9","18.4","21.3"
"Africa Region"," 2002","3","19.4","22.4"
"Africa Region"," 2001","3","20.3","23.3"
"Africa Region"," 2000","3.1","21.1","24.2"
"Region of the Americas"," 2017","0.3","1.1","1.4"
"Region of the Americas"," 2016","0.3","1.2","1.5"
"Region of the Americas"," 2015","0.3","1.2","1.5"
"Region of the Americas"," 2014","0.3","1.3","1.6"
"Region of the Americas"," 2013","0.3","1.4","1.7"
"Region of the Americas"," 2012","0.3","1.4","1.7"
"Region of the Americas"," 2011","0.3","1.5","1.9"
"Region of the Americas"," 2010","0.3","1.6","1.9"
"Region of the Americas"," 2009","0.3","1.7","2"
"Region of the Americas"," 2008","0.3","1.7","2.1"
"Region of the Americas"," 2007","0.4","1.8","2.2"
"Region of the Americas"," 2006","0.4","2","2.3"
"Region of the Americas"," 2005","0.4","2.1","2.5"
"Region of the Americas"," 2004","0.4","2.3","2.7"
"Region of the Americas"," 2003","0.4","2.4","2.8"
"Region of the Americas"," 2002","0.5","2.5","3"
"Region of the Americas"," 2001","0.5","2.7","3.2"
"Region of the Americas"," 2000","0.5","3","3.5"
"South-East Asia Region"," 2017","1.1","4.1","5.2"
"South-East Asia Region"," 2016","1.2","4.4","5.5"
"South-East Asia Region"," 2015","1.2","4.8","6"
"South-East Asia Region"," 2014","1.3","5.4","6.7"
"South-East Asia Region"," 2013","1.4","5.9","7.3"
"South-East Asia Region"," 2012","1.5","6.5","7.9"
"South-East Asia Region"," 2011","1.6","6.9","8.5"
"South-East Asia Region"," 2010","1.7","7.5","9.1"
"South-East Asia Region"," 2009","1.8","8","9.8"
"South-East Asia Region"," 2008","1.9","8.6","10.4"
"South-East Asia Region"," 2007","2","9.1","11.1"
"South-East Asia Region"," 2006","2.1","9.7","11.8"
"South-East Asia Region"," 2005","2.2","10.2","12.4"
"South-East Asia Region"," 2004","2.3","10.7","13.1"
"South-East Asia Region"," 2003","2.4","11.3","13.7"
"South-East Asia Region"," 2002","2.6","11.9","14.5"
"South-East Asia Region"," 2001","2.7","12.5","15.2"
"South-East Asia Region"," 2000","2.8","13.2","16"
"European Region"," 2017","0.2","0.7","0.8"
"European Region"," 2016","0.2","0.7","0.9"
"European Region"," 2015","0.2","0.8","1"
"European Region"," 2014","0.2","0.8","1"
"European Region"," 2013","0.2","0.9","1.1"
"European Region"," 2012","0.2","0.9","1.1"
"European Region"," 2011","0.2","1","1.2"
"European Region"," 2010","0.2","1","1.3"
"European Region"," 2009","0.3","1.2","1.4"
"European Region"," 2008","0.3","1.2","1.5"
"European Region"," 2007","0.3","1.3","1.6"
"European Region"," 2006","0.3","1.5","1.8"
"European Region"," 2005","0.3","1.6","1.9"
"European Region"," 2004","0.4","1.7","2.1"
"European Region"," 2003","0.4","1.9","2.3"
"European Region"," 2002","0.4","2.1","2.5"
"European Region"," 2001","0.4","2.3","2.7"
"European Region"," 2000","0.5","2.5","3"
"Eastern Mediterranean Region"," 2017","1.7","5.6","7.2"
"Eastern Mediterranean Region"," 2016","1.7","5.7","7.4"
"Eastern Mediterranean Region"," 2015","1.7","5.9","7.6"
"Eastern Mediterranean Region"," 2014","1.8","6.2","8"
"Eastern Mediterranean Region"," 2013","1.8","6.7","8.5"
"Eastern Mediterranean Region"," 2012","1.9","7.4","9.3"
"Eastern Mediterranean Region"," 2011","1.9","7.7","9.7"
"Eastern Mediterranean Region"," 2010","2","8.1","10.2"
"Eastern Mediterranean Region"," 2009","2.1","8.6","10.7"
"Eastern Mediterranean Region"," 2008","2.1","9.2","11.4"
"Eastern Mediterranean Region"," 2007","2.2","9.8","12"
"Eastern Mediterranean Region"," 2006","2.3","10.3","12.5"
"Eastern Mediterranean Region"," 2005","2.4","10.6","13"
