"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","4.2","0","4.2"
"Africa Region"," 2016","4.3","0","4.3"
"Africa Region"," 2015","4.4","0","4.4"
"Africa Region"," 2014","4.4","0","4.4"
"Africa Region"," 2013","4.5","0","4.5"
"Africa Region"," 2012","4.7","0","4.7"
"Africa Region"," 2011","4.9","0","4.9"
"Africa Region"," 2010","5.1","0","5.1"
"Africa Region"," 2009","5.3","0","5.3"
"Africa Region"," 2008","5.3","0","5.3"
"Africa Region"," 2007","5.3","0","5.3"
"Africa Region"," 2006","5.3","0","5.3"
"Africa Region"," 2005","5.3","0","5.3"
"Africa Region"," 2004","5.2","0","5.2"
"Africa Region"," 2003","5.2","0","5.2"
"Africa Region"," 2002","5.1","0","5.1"
"Africa Region"," 2001","5.1","0","5.1"
"Africa Region"," 2000","5","0","5"
"Region of the Americas"," 2017","1","0","1"
"Region of the Americas"," 2016","1","0","1"
"Region of the Americas"," 2015","1","0","1"
"Region of the Americas"," 2014","1","0","1"
"Region of the Americas"," 2013","1","0","1"
"Region of the Americas"," 2012","1.1","0","1.1"
"Region of the Americas"," 2011","1.1","0","1.1"
"Region of the Americas"," 2010","1.1","0","1.1"
"Region of the Americas"," 2009","1.2","0","1.2"
"Region of the Americas"," 2008","1.2","0","1.2"
"Region of the Americas"," 2007","1.2","0","1.2"
"Region of the Americas"," 2006","1.3","0","1.3"
"Region of the Americas"," 2005","1.3","0","1.3"
"Region of the Americas"," 2004","1.4","0","1.4"
"Region of the Americas"," 2003","1.4","0","1.4"
"Region of the Americas"," 2002","1.5","0","1.5"
"Region of the Americas"," 2001","1.5","0","1.5"
"Region of the Americas"," 2000","1.6","0","1.6"
"South-East Asia Region"," 2017","2.7","0","2.7"
"South-East Asia Region"," 2016","2.9","0","2.9"
"South-East Asia Region"," 2015","3","0","3"
"South-East Asia Region"," 2014","3.2","0","3.2"
"South-East Asia Region"," 2013","3.4","0","3.4"
"South-East Asia Region"," 2012","3.6","0","3.6"
"South-East Asia Region"," 2011","3.8","0","3.8"
"South-East Asia Region"," 2010","4","0","4"
"South-East Asia Region"," 2009","4.2","0","4.2"
"South-East Asia Region"," 2008","4.4","0","4.4"
"South-East Asia Region"," 2007","4.6","0","4.6"
"South-East Asia Region"," 2006","4.8","0","4.8"
"South-East Asia Region"," 2005","5","0","5"
"South-East Asia Region"," 2004","5.2","0","5.2"
"South-East Asia Region"," 2003","5.4","0","5.4"
"South-East Asia Region"," 2002","5.5","0","5.5"
"South-East Asia Region"," 2001","5.7","0","5.7"
"South-East Asia Region"," 2000","5.9","0","5.9"
"European Region"," 2017","0.4","0","0.4"
"European Region"," 2016","0.4","0","0.4"
"European Region"," 2015","0.4","0","0.4"
"European Region"," 2014","0.4","0","0.4"
"European Region"," 2013","0.4","0","0.4"
"European Region"," 2012","0.5","0","0.5"
"European Region"," 2011","0.5","0","0.5"
"European Region"," 2010","0.5","0","0.5"
"European Region"," 2009","0.5","0","0.5"
"European Region"," 2008","0.5","0","0.5"
"European Region"," 2007","0.6","0","0.6"
"European Region"," 2006","0.6","0","0.6"
"European Region"," 2005","0.6","0","0.6"
"European Region"," 2004","0.6","0","0.6"
"European Region"," 2003","0.7","0","0.7"
"European Region"," 2002","0.7","0","0.7"
"European Region"," 2001","0.7","0","0.7"
"European Region"," 2000","0.8","0","0.8"
"Eastern Mediterranean Region"," 2017","3.8","0","3.8"
"Eastern Mediterranean Region"," 2016","3.9","0","3.9"
"Eastern Mediterranean Region"," 2015","3.9","0","3.9"
"Eastern Mediterranean Region"," 2014","4","0","4"
"Eastern Mediterranean Region"," 2013","4","0","4"
"Eastern Mediterranean Region"," 2012","4.1","0","4.1"
"Eastern Mediterranean Region"," 2011","4.2","0","4.2"
"Eastern Mediterranean Region"," 2010","4.4","0","4.4"
"Eastern Mediterranean Region"," 2009","4.5","0","4.5"
"Eastern Mediterranean Region"," 2008","4.5","0","4.5"
