"","","Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
"",""," Tetanus"," Tetanus"," Tetanus"
"Region","Year"," 0-27 days"," 1-59 months"," 0-4 years"
"Africa Region"," 2017","0.4","0","0.4"
"Africa Region"," 2016","0.4","0","0.4"
"Africa Region"," 2015","0.4","0","0.4"
"Africa Region"," 2014","0.5","0","0.5"
"Africa Region"," 2013","0.5","0","0.5"
"Africa Region"," 2012","0.5","0","0.6"
"Africa Region"," 2011","0.6","0","0.6"
"Africa Region"," 2010","0.6","0","0.6"
"Africa Region"," 2009","0.6","0","0.6"
"Africa Region"," 2008","0.7","0","0.7"
"Africa Region"," 2007","0.8","0","0.8"
"Africa Region"," 2006","0.9","0","0.9"
"Africa Region"," 2005","1.1","0","1.1"
"Africa Region"," 2004","1.2","0","1.2"
"Africa Region"," 2003","1.4","0","1.4"
"Africa Region"," 2002","1.6","0","1.6"
"Africa Region"," 2001","1.8","0","1.8"
"Africa Region"," 2000","2","0","2.1"
"Region of the Americas"," 2017","0","0","0"
"Region of the Americas"," 2016","0","0","0"
"Region of the Americas"," 2015","0","0","0"
"Region of the Americas"," 2014","0","0","0"
"Region of the Americas"," 2013","0","0","0"
"Region of the Americas"," 2012","0","0","0"
"Region of the Americas"," 2011","0","0","0"
"Region of the Americas"," 2010","0","0","0"
"Region of the Americas"," 2009","0","0","0"
"Region of the Americas"," 2008","0","0","0"
"Region of the Americas"," 2007","0","0","0"
"Region of the Americas"," 2006","0","0","0"
"Region of the Americas"," 2005","0","0","0"
"Region of the Americas"," 2004","0","0","0"
"Region of the Americas"," 2003","0","0","0"
"Region of the Americas"," 2002","0","0","0"
"Region of the Americas"," 2001","0","0","0"
"Region of the Americas"," 2000","0","0","0"
"South-East Asia Region"," 2017","0.2","0","0.2"
"South-East Asia Region"," 2016","0.2","0","0.2"
"South-East Asia Region"," 2015","0.2","0","0.2"
"South-East Asia Region"," 2014","0.2","0","0.2"
"South-East Asia Region"," 2013","0.2","0","0.3"
"South-East Asia Region"," 2012","0.3","0","0.3"
"South-East Asia Region"," 2011","0.4","0","0.4"
"South-East Asia Region"," 2010","0.4","0","0.4"
"South-East Asia Region"," 2009","0.5","0","0.5"
"South-East Asia Region"," 2008","0.6","0","0.6"
"South-East Asia Region"," 2007","0.7","0","0.7"
"South-East Asia Region"," 2006","0.8","0","0.8"
"South-East Asia Region"," 2005","0.9","0","0.9"
"South-East Asia Region"," 2004","1","0","1"
"South-East Asia Region"," 2003","1.1","0","1.1"
"South-East Asia Region"," 2002","1.3","0","1.3"
"South-East Asia Region"," 2001","1.4","0","1.5"
"South-East Asia Region"," 2000","1.6","0","1.7"
"European Region"," 2017","0","0","0"
"European Region"," 2016","0","0","0"
"European Region"," 2015","0","0","0"
"European Region"," 2014","0","0","0"
"European Region"," 2013","0","0","0"
"European Region"," 2012","0","0","0"
"European Region"," 2011","0","0","0"
"European Region"," 2010","0","0","0"
"European Region"," 2009","0","0","0"
"European Region"," 2008","0","0","0"
"European Region"," 2007","0","0","0"
"European Region"," 2006","0","0","0"
"European Region"," 2005","0","0","0"
"European Region"," 2004","0","0","0"
"European Region"," 2003","0","0","0"
"European Region"," 2002","0","0","0"
"European Region"," 2001","0","0","0"
"European Region"," 2000","0","0","0"
"Eastern Mediterranean Region"," 2017","0.6","0","0.6"
"Eastern Mediterranean Region"," 2016","0.6","0","0.6"
"Eastern Mediterranean Region"," 2015","0.7","0","0.7"
"Eastern Mediterranean Region"," 2014","0.8","0","0.8"
"Eastern Mediterranean Region"," 2013","0.8","0","0.8"
"Eastern Mediterranean Region"," 2012","0.9","0","0.9"
"Eastern Mediterranean Region"," 2011","1","0","1"
"Eastern Mediterranean Region"," 2010","1","0","1"
"Eastern Mediterranean Region"," 2009","1","0","1"
"Eastern Mediterranean Region"," 2008","1.1","0","1.1"
"Eastern Mediterranean Region"," 2007","1.2","0","1.2"
"Eastern Mediterranean Region"," 2006","1.3","0","1.3"
"Eastern Mediterranean Region"," 2005","1.4","0","1.4"
"Eastern Mediterranean Region"," 2004","1.6","0","1.7"
"Eastern Mediterranean Region"," 2003","2","0","2"
"Eastern Mediterranean Region"," 2002","2.4","0","2.4"
"Eastern Mediterranean Region"," 2001","2.7","0","2.7"
"Eastern Mediterranean Region"," 2000","3.2","0","3.2"
"Western Pacific Region"," 2017","0","0","0"
"Western Pacific Region"," 2016","0","0","0"
"Western Pacific Region"," 2015","0","0","0"
"Western Pacific Region"," 2014","0","0","0"
"Western Pacific Region"," 2013","0","0","0"
"Western Pacific Region"," 2012","0","0","0"
"Western Pacific Region"," 2011","0","0","0"
"Western Pacific Region"," 2010","0","0","0"
"Western Pacific Region"," 2009","0","0","0"
"Western Pacific Region"," 2008","0.1","0","0.1"
"Western Pacific Region"," 2007","0.1","0","0.1"
"Western Pacific Region"," 2006","0.1","0","0.1"
"Western Pacific Region"," 2005","0.1","0","0.1"
"Western Pacific Region"," 2004","0.1","0","0.1"
"Western Pacific Region"," 2003","0.1","0","0.1"
"Western Pacific Region"," 2002","0.2","0","0.2"
"Western Pacific Region"," 2001","0.2","0","0.2"
"Western Pacific Region"," 2000","0.2","0","0.3"
"World"," 2017","0.2","0","0.2"
"World"," 2016","0.2","0","0.2"
"World"," 2015","0.2","0","0.2"
"World"," 2014","0.3","0","0.3"
"World"," 2013","0.3","0","0.3"
"World"," 2012","0.3","0","0.3"
"World"," 2011","0.4","0","0.4"
"World"," 2010","0.4","0","0.4"
"World"," 2009","0.4","0","0.4"
"World"," 2008","0.5","0","0.5"
"World"," 2007","0.5","0","0.5"
"World"," 2006","0.6","0","0.6"
"World"," 2005","0.7","0","0.7"
"World"," 2004","0.8","0","0.8"
"World"," 2003","0.9","0","0.9"
"World"," 2002","1","0","1"
"World"," 2001","1.2","0","1.2"
"World"," 2000","1.3","0","1.3"
