"WHO region","Year","Maternal mortality ratio (per 100 000 live births)","Number of maternal deaths"
"Global"," 2017","211 [199-243]","295 000 [279 000 - 340 000]"
"Global"," 2016","214 [203-244]","300 000 [284 000 - 341 000]"
"Global"," 2015","219 [208-247]","306 000 [291 000 - 345 000]"
"Global"," 2014","224 [213-251]","313 000 [298 000 - 350 000]"
"Global"," 2013","229 [218-253]","319 000 [304 000 - 352 000]"
"Global"," 2012","234 [224-257]","326 000 [311 000 - 357 000]"
"Global"," 2011","241 [230-262]","334 000 [320 000 - 364 000]"
"Global"," 2010","248 [238-269]","343 000 [329 000 - 372 000]"
"Global"," 2009","257 [246-276]","353 000 [339 000 - 381 000]"
"Global"," 2008","265 [255-284]","363 000 [349 000 - 390 000]"
"Global"," 2007","274 [263-293]","373 000 [359 000 - 400 000]"
"Global"," 2006","284 [274-304]","386 000 [371 000 - 412 000]"
"Global"," 2005","296 [285-317]","399 000 [384 000 - 427 000]"
"Global"," 2004","309 [297-331]","414 000 [398 000 - 443 000]"
"Global"," 2003","319 [306-341]","426 000 [408 000 - 455 000]"
"Global"," 2002","328 [314-351]","435 000 [416 000 - 465 000]"
"Global"," 2001","335 [320-359]","443 000 [424 000 - 474 000]"
"Global"," 2000","342 [327-368]","451 000 [431 000 - 485 000]"
"Africa"," 2017","525 [480-629]","192 000 [176 000 - 230 000]"
"Africa"," 2016","536 [491-633]","194 000 [177 000 - 229 000]"
"Africa"," 2015","548 [504-641]","195 000 [180 000 - 228 000]"
"Africa"," 2014","562 [518-648]","197 000 [182 000 - 228 000]"
"Africa"," 2013","572 [530-653]","198 000 [183 000 - 226 000]"
"Africa"," 2012","585 [542-661]","199 000 [185 000 - 225 000]"
"Africa"," 2011","599 [558-671]","201 000 [187 000 - 225 000]"
"Africa"," 2010","615 [575-684]","203 000 [190 000 - 225 000]"
"Africa"," 2009","634 [594-699]","205 000 [192 000 - 226 000]"
"Africa"," 2008","653 [613-716]","207 000 [195 000 - 227 000]"
"Africa"," 2007","673 [634-736]","209 000 [197 000 - 229 000]"
"Africa"," 2006","701 [661-765]","214 000 [202 000 - 233 000]"
"Africa"," 2005","735 [693-801]","219 000 [207 000 - 239 000]"
"Africa"," 2004","771 [726-841]","225 000 [212 000 - 246 000]"
"Africa"," 2003","801 [752-876]","229 000 [215 000 - 250 000]"
"Africa"," 2002","822 [769-900]","230 000 [215 000 - 252 000]"
"Africa"," 2001","837 [781-918]","229 000 [214 000 - 252 000]"
"Africa"," 2000","857 [798-943]","230 000 [214 000 - 253 000]"
"Americas"," 2017","57 [55-62]","8 500 [8 100 - 9 200]"
"Americas"," 2016","59 [56-63]","8 700 [8 300 - 9 400]"
"Americas"," 2015","59 [57-64]","8 800 [8 400 - 9 500]"
"Americas"," 2014","60 [57-64]","8 900 [8 500 - 9 500]"
"Americas"," 2013","60 [58-64]","9 000 [8 600 - 9 600]"
"Americas"," 2012","61 [58-65]","9 200 [8 800 - 9 700]"
"Americas"," 2011","62 [60-65]","9 400 [9 000 - 9 900]"
"Americas"," 2010","64 [61-68]","9 700 [9 300 - 10 000]"
"Americas"," 2009","66 [64-69]","10 000 [9 700 - 11 000]"
"Americas"," 2008","65 [63-69]","10 000 [9 700 - 11 000]"
"Americas"," 2007","66 [64-69]","10 000 [9 900 - 11 000]"
"Americas"," 2006","67 [65-70]","10 000 [10 000 - 11 000]"
"Americas"," 2005","68 [66-71]","11 000 [10 000 - 11 000]"
"Americas"," 2004","70 [68-73]","11 000 [11 000 - 11 000]"
"Americas"," 2003","70 [68-73]","11 000 [11 000 - 11 000]"
"Americas"," 2002","71 [69-74]","11 000 [11 000 - 12 000]"
